"stu_id","course_id","gender","age","total_activities","total_duration","activity_type","grade"
1,2,0,"23","1","10.00","Forum",80
2,1,1,"23","3","108.00","Group Assignment",93
2,2,1,"23","3","74.00","Group Assignment",56
2,3,1,"23","3","65.00","Group Assignment",54
2,4,1,"23","3","109.00","Group Assignment",62
2,5,1,"23","3","78.00","Group Assignment",67
3,1,1,"22","2","61.00","Group Assignment",79
3,2,1,"22","1","49.00","Group Assignment",81
3,3,1,"22","2","52.00","Group Assignment",84
3,4,1,"22","2","37.00","Group Assignment",91
3,5,1,"22","1","14.00","Group Assignment",82
4,1,1,"21","3","99.00","Group Assignment",97
4,2,1,"21","2","48.00","Group Assignment",75
4,3,1,"21","3","61.00","Group Assignment",88
4,5,1,"21","1","49.00","Group Assignment",82
5,1,1,"25","3","104.00","Group Assignment",60
5,2,1,"25","3","77.00","Group Assignment",98
5,3,1,"25","3","145.00","Group Assignment",97
5,4,1,"25","3","82.00","Group Assignment",97
5,5,1,"25","3","90.00","Group Assignment",56
6,1,1,"21","3","44.00","Group Assignment",83
6,2,1,"21","3","113.00","Group Assignment",83
6,3,1,"21","3","143.00","Group Assignment",82
6,4,1,"21","3","45.00","Group Assignment",88
6,5,1,"21","3","123.00","Group Assignment",96
7,1,0,"25","3","67.00","Group Assignment",73
7,2,0,"25","3","49.00","Group Assignment",76
7,3,0,"25","3","86.00","Group Assignment",87
7,4,0,"25","3","80.00","Group Assignment",88
7,5,0,"25","3","91.00","Group Assignment",67
8,1,1,"25","3","163.00","Group Assignment",71
8,2,1,"25","3","96.00","Group Assignment",54
8,3,1,"25","3","135.00","Group Assignment",60
8,4,1,"25","3","104.00","Group Assignment",52
8,5,1,"25","3","103.00","Group Assignment",57
9,1,0,"24","3","108.00","Group Assignment",52
9,2,0,"24","3","111.00","Group Assignment",74
9,3,0,"24","3","111.00","Group Assignment",71
9,4,0,"24","3","124.00","Group Assignment",66
9,5,0,"24","3","78.00","Group Assignment",86
10,1,0,"21","3","60.00","Group Assignment",66
10,2,0,"21","3","78.00","Group Assignment",71
10,3,0,"21","3","139.00","Group Assignment",84
10,4,0,"21","3","140.00","Group Assignment",69
10,5,0,"21","3","100.00","Group Assignment",93
11,1,0,"23","3","91.00","Group Assignment",75
11,2,0,"23","3","87.00","Group Assignment",82
11,3,0,"23","3","71.00","Group Assignment",66
11,4,0,"23","3","109.00","Group Assignment",87
11,5,0,"23","3","92.00","Group Assignment",75
12,1,0,"21","3","63.00","Group Assignment",88
12,2,0,"21","3","127.00","Group Assignment",66
12,3,0,"21","3","111.00","Group Assignment",88
12,4,0,"21","3","118.00","Group Assignment",58
12,5,0,"21","3","98.00","Group Assignment",75
13,1,0,"20","3","67.00","Group Assignment",59
13,2,0,"20","3","127.00","Group Assignment",81
13,3,0,"20","3","106.00","Group Assignment",92
13,4,0,"20","3","64.00","Group Assignment",83
13,5,0,"20","3","160.00","Group Assignment",70
14,1,1,"19","2","51.00","Group Assignment",94
14,2,1,"19","3","115.00","Group Assignment",80
14,3,1,"19","2","67.00","Group Assignment",52
14,4,1,"19","1","41.00","Group Assignment",94
14,5,1,"19","2","52.00","Group Assignment",71
15,1,1,"23","3","60.00","Individual Assignment",85
15,2,1,"23","3","108.00","Individual Assignment",64
15,3,1,"23","3","115.00","Individual Assignment",68
15,4,1,"23","3","140.00","Individual Assignment",84
15,5,1,"23","3","107.00","Individual Assignment",93
16,1,1,"20","3","82.00","Group Assignment",83
16,2,1,"20","3","135.00","Group Assignment",85
16,3,1,"20","3","123.00","Group Assignment",92
16,4,1,"20","3","68.00","Group Assignment",77
16,5,1,"20","3","80.00","Group Assignment",80
17,1,0,"20","3","118.00","Group Assignment",72
17,2,0,"20","3","120.00","Group Assignment",74
17,3,0,"20","3","71.00","Group Assignment",59
17,4,0,"20","3","142.00","Group Assignment",58
17,5,0,"20","3","88.00","Group Assignment",81
18,1,0,"24","3","76.00","Group Assignment",64
18,2,0,"24","3","130.00","Group Assignment",85
18,3,0,"24","3","134.00","Group Assignment",65
18,4,0,"24","3","101.00","Group Assignment",70
18,5,0,"24","3","82.00","Group Assignment",64
19,1,0,"20","3","95.00","Group Assignment",52
19,2,0,"20","3","101.00","Group Assignment",63
19,3,0,"20","3","80.00","Group Assignment",96
19,4,0,"20","3","93.00","Group Assignment",61
19,5,0,"20","3","93.00","Group Assignment",83
20,1,0,"20","3","82.00","Group Assignment",69
20,2,0,"20","3","90.00","Group Assignment",74
20,3,0,"20","3","136.00","Group Assignment",83
20,4,0,"20","3","125.00","Group Assignment",88
20,5,0,"20","3","71.00","Group Assignment",75
21,1,0,"22","3","104.00","Group Assignment",60
21,2,0,"22","3","96.00","Group Assignment",57
21,3,0,"22","3","129.00","Group Assignment",70
21,4,0,"22","3","60.00","Group Assignment",99
21,5,0,"22","3","104.00","Group Assignment",76
22,1,1,"21","3","82.00","Group Assignment",87
22,2,1,"21","3","113.00","Group Assignment",52
22,3,1,"21","3","85.00","Group Assignment",83
22,4,1,"21","3","48.00","Group Assignment",84
22,5,1,"21","3","83.00","Group Assignment",98
23,1,0,"25","3","74.00","Group Assignment",91
23,2,0,"25","3","79.00","Group Assignment",88
23,3,0,"25","3","73.00","Group Assignment",73
23,4,0,"25","3","48.00","Group Assignment",65
23,5,0,"25","3","90.00","Group Assignment",60
24,1,0,"25","3","85.00","Group Assignment",62
24,2,0,"25","3","69.00","Group Assignment",87
24,3,0,"25","3","147.00","Group Assignment",53
24,4,0,"25","3","80.00","Group Assignment",71
24,5,0,"25","3","52.00","Group Assignment",75
25,1,0,"18","1","21.00","Individual Assignment",70
25,2,0,"18","1","8.00","Individual Assignment",71
25,5,0,"18","1","9.00","Individual Assignment",63
26,1,0,"20","3","80.00","Group Assignment",88
26,2,0,"20","3","66.00","Group Assignment",71
26,3,0,"20","3","128.00","Group Assignment",91
26,4,0,"20","3","126.00","Group Assignment",56
26,5,0,"20","3","30.00","Group Assignment",66
27,1,0,"23","3","113.00","Individual Assignment",55
27,2,0,"23","3","80.00","Individual Assignment",76
27,3,0,"23","3","112.00","Individual Assignment",71
27,4,0,"23","3","115.00","Individual Assignment",100
27,5,0,"23","3","77.00","Individual Assignment",62
28,1,0,"20","3","109.00","Group Assignment",92
28,2,0,"20","3","114.00","Group Assignment",81
28,3,0,"20","3","40.00","Group Assignment",77
28,4,0,"20","3","119.00","Group Assignment",81
28,5,0,"20","3","104.00","Group Assignment",71
29,1,0,"23","3","53.00","Group Assignment",94
29,2,0,"23","2","40.00","Group Assignment",55
29,3,0,"23","1","19.00","Group Assignment",85
29,4,0,"23","2","68.00","Group Assignment",99
29,5,0,"23","1","21.00","Group Assignment",88
30,1,0,"22","3","107.00","Group Assignment",80
30,2,0,"22","3","90.00","Group Assignment",76
30,3,0,"22","3","97.00","Group Assignment",81
30,4,0,"22","3","122.00","Group Assignment",94
30,5,0,"22","3","56.00","Group Assignment",66
31,1,1,"19","3","104.00","Group Assignment",96
31,2,1,"19","3","148.00","Group Assignment",68
31,3,1,"19","3","140.00","Group Assignment",60
31,4,1,"19","3","81.00","Group Assignment",65
31,5,1,"19","3","106.00","Group Assignment",82
32,1,0,"22","3","136.00","Group Assignment",60
32,2,0,"22","3","116.00","Group Assignment",51
32,3,0,"22","3","97.00","Group Assignment",96
32,4,0,"22","3","97.00","Group Assignment",95
32,5,0,"22","3","135.00","Group Assignment",92
33,1,0,"25","3","128.00","Group Assignment",73
33,2,0,"25","3","95.00","Group Assignment",68
33,3,0,"25","3","42.00","Group Assignment",92
33,4,0,"25","3","105.00","Group Assignment",95
33,5,0,"25","3","103.00","Group Assignment",87
34,1,0,"23","3","115.00","Group Assignment",94
34,2,0,"23","3","140.00","Group Assignment",73
34,3,0,"23","3","110.00","Group Assignment",100
34,4,0,"23","3","156.00","Group Assignment",73
34,5,0,"23","3","96.00","Group Assignment",71
35,1,1,"23","3","112.00","Group Assignment",51
35,2,1,"23","3","119.00","Group Assignment",60
35,3,1,"23","3","87.00","Group Assignment",95
35,4,1,"23","3","54.00","Group Assignment",64
35,5,1,"23","3","128.00","Group Assignment",88
36,1,0,"23","3","82.00","Group Assignment",71
36,2,0,"23","3","86.00","Group Assignment",65
36,3,0,"23","3","103.00","Group Assignment",96
36,4,0,"23","3","115.00","Group Assignment",100
36,5,0,"23","3","89.00","Group Assignment",98
37,1,0,"20","3","144.00","Individual Assignment",55
37,2,0,"20","3","63.00","Individual Assignment",90
37,3,0,"20","3","59.00","Individual Assignment",75
37,4,0,"20","3","59.00","Individual Assignment",77
37,5,0,"20","3","92.00","Individual Assignment",99
38,1,0,"23","3","92.00","Group Assignment",80
38,2,0,"23","3","82.00","Group Assignment",95
38,3,0,"23","3","132.00","Group Assignment",75
38,4,0,"23","3","152.00","Group Assignment",54
38,5,0,"23","3","80.00","Group Assignment",60
39,1,1,"24","3","96.00","Group Assignment",69
39,2,1,"24","3","143.00","Group Assignment",73
39,3,1,"24","3","121.00","Group Assignment",95
39,4,1,"24","3","114.00","Group Assignment",81
39,5,1,"24","3","99.00","Group Assignment",88
40,1,0,"20","3","76.00","Group Assignment",53
40,2,0,"20","3","140.00","Group Assignment",82
40,3,0,"20","1","25.00","Group Assignment",52
40,4,0,"20","2","33.00","Group Assignment",71
40,5,0,"20","2","32.00","Group Assignment",94
41,1,1,"24","3","67.00","Group Assignment",54
41,2,1,"24","3","91.00","Group Assignment",80
41,3,1,"24","3","108.00","Group Assignment",69
41,4,1,"24","3","90.00","Group Assignment",86
41,5,1,"24","3","72.00","Group Assignment",77
42,1,1,"18","3","98.00","Group Assignment",58
42,2,1,"18","3","63.00","Group Assignment",99
42,3,1,"18","3","100.00","Group Assignment",79
42,4,1,"18","3","95.00","Group Assignment",73
42,5,1,"18","3","78.00","Group Assignment",94
43,1,0,"22","1","24.00","Group Assignment",80
43,5,0,"22","1","20.00","Group Assignment",58
44,2,0,"21","2","55.00","Individual Assignment",53
44,3,0,"21","3","109.00","Individual Assignment",52
44,4,0,"21","2","56.00","Individual Assignment",60
44,5,0,"21","2","54.00","Individual Assignment",81
45,1,0,"22","3","54.00","Group Assignment",63
45,2,0,"22","3","116.00","Group Assignment",77
45,3,0,"22","3","211.00","Group Assignment",89
45,4,0,"22","3","117.00","Group Assignment",73
45,5,0,"22","3","81.00","Group Assignment",82
46,1,0,"22","3","151.00","Group Assignment",54
46,2,0,"22","3","109.00","Group Assignment",99
46,3,0,"22","3","127.00","Group Assignment",77
46,4,0,"22","3","92.00","Group Assignment",51
46,5,0,"22","3","98.00","Group Assignment",59
47,1,0,"19","3","110.00","Individual Assignment",65
47,2,0,"19","2","60.00","Individual Assignment",69
47,3,0,"19","1","20.00","Individual Assignment",95
47,4,0,"19","2","72.00","Individual Assignment",66
47,5,0,"19","1","17.00","Individual Assignment",88
48,1,0,"21","3","119.00","Individual Assignment",56
48,2,0,"21","3","65.00","Individual Assignment",55
48,3,0,"21","3","109.00","Individual Assignment",89
48,4,0,"21","3","107.00","Individual Assignment",56
48,5,0,"21","3","76.00","Individual Assignment",87
49,1,1,"23","3","58.00","Group Assignment",77
49,2,1,"23","3","86.00","Group Assignment",70
49,3,1,"23","3","51.00","Group Assignment",79
49,4,1,"23","3","66.00","Group Assignment",76
49,5,1,"23","3","133.00","Group Assignment",69
50,1,0,"21","2","58.00","Individual Assignment",82
50,3,0,"21","2","35.00","Individual Assignment",62
50,4,0,"21","2","61.00","Individual Assignment",74
51,1,0,"23","1","23.00","Forum",51
51,2,0,"23","1","29.00","Forum",97
51,3,0,"23","2","71.00","Forum",60
51,4,0,"23","2","80.00","Forum",57
51,5,0,"23","1","34.00","Forum",85
52,1,0,"25","3","186.00","Individual Assignment",72
52,2,0,"25","3","66.00","Individual Assignment",76
52,3,0,"25","3","105.00","Individual Assignment",99
52,4,0,"25","3","148.00","Individual Assignment",76
52,5,0,"25","3","90.00","Individual Assignment",65
53,1,0,"24","3","76.00","Group Assignment",74
53,2,0,"24","3","82.00","Group Assignment",67
53,3,0,"24","3","74.00","Group Assignment",82
53,4,0,"24","3","110.00","Group Assignment",80
53,5,0,"24","3","107.00","Group Assignment",95
54,1,0,"20","3","95.00","Group Assignment",66
54,2,0,"20","3","86.00","Group Assignment",93
54,3,0,"20","3","97.00","Group Assignment",81
54,4,0,"20","3","76.00","Group Assignment",95
54,5,0,"20","3","75.00","Group Assignment",61
55,1,1,"25","3","74.00","Individual Assignment",90
55,2,1,"25","3","70.00","Individual Assignment",98
55,3,1,"25","3","81.00","Individual Assignment",61
55,4,1,"25","3","127.00","Individual Assignment",66
55,5,1,"25","3","86.00","Individual Assignment",90
56,1,1,"25","3","55.00","Group Assignment",92
56,2,1,"25","3","89.00","Group Assignment",72
56,3,1,"25","3","170.00","Group Assignment",66
56,4,1,"25","3","51.00","Group Assignment",77
56,5,1,"25","3","130.00","Group Assignment",88
57,1,1,"19","3","112.00","Individual Assignment",100
57,2,1,"19","3","112.00","Individual Assignment",54
57,3,1,"19","3","56.00","Individual Assignment",95
57,4,1,"19","3","77.00","Individual Assignment",69
57,5,1,"19","3","81.00","Individual Assignment",62
58,1,0,"22","3","121.00","Group Assignment",94
58,2,0,"22","3","85.00","Group Assignment",66
58,3,0,"22","3","116.00","Group Assignment",55
58,4,0,"22","3","110.00","Group Assignment",87
58,5,0,"22","3","66.00","Group Assignment",99
59,1,0,"18","3","59.00","Group Assignment",54
59,2,0,"18","3","98.00","Group Assignment",75
59,3,0,"18","3","143.00","Group Assignment",78
59,4,0,"18","3","82.00","Group Assignment",90
59,5,0,"18","3","129.00","Group Assignment",95
60,1,1,"22","3","51.00","Group Assignment",69
60,2,1,"22","3","115.00","Group Assignment",71
60,3,1,"22","3","131.00","Group Assignment",58
60,4,1,"22","3","203.00","Group Assignment",66
60,5,1,"22","3","79.00","Group Assignment",91
61,1,1,"19","3","75.00","Group Assignment",69
61,2,1,"19","3","94.00","Group Assignment",58
61,3,1,"19","3","127.00","Group Assignment",58
61,4,1,"19","3","110.00","Group Assignment",61
61,5,1,"19","3","111.00","Group Assignment",92
62,1,1,"22","1","18.00","Forum",74
62,2,1,"22","2","86.00","Forum",60
62,3,1,"22","3","33.00","Forum",51
62,4,1,"22","1","44.00","Forum",91
62,5,1,"22","3","84.00","Forum",61
63,1,0,"21","3","85.00","Individual Assignment",94
63,2,0,"21","3","132.00","Individual Assignment",93
63,3,0,"21","3","116.00","Individual Assignment",98
63,4,0,"21","3","79.00","Individual Assignment",79
63,5,0,"21","3","51.00","Individual Assignment",83
64,1,1,"21","3","92.00","Group Assignment",54
64,2,1,"21","3","119.00","Group Assignment",50
64,3,1,"21","3","131.00","Group Assignment",85
64,4,1,"21","3","83.00","Group Assignment",53
64,5,1,"21","3","93.00","Group Assignment",54
65,1,0,"18","3","95.00","Group Assignment",76
65,2,0,"18","3","87.00","Group Assignment",55
65,3,0,"18","3","123.00","Group Assignment",81
65,4,0,"18","3","56.00","Group Assignment",76
65,5,0,"18","3","117.00","Group Assignment",96
66,1,1,"20","3","89.00","Group Assignment",80
66,2,1,"20","3","119.00","Group Assignment",61
66,3,1,"20","3","112.00","Group Assignment",83
66,4,1,"20","3","142.00","Group Assignment",87
66,5,1,"20","3","47.00","Group Assignment",58
67,1,0,"25","3","149.00","Group Assignment",58
67,2,0,"25","3","77.00","Group Assignment",54
67,3,0,"25","3","67.00","Group Assignment",72
67,4,0,"25","3","51.00","Group Assignment",53
67,5,0,"25","3","51.00","Group Assignment",75
68,1,1,"23","3","134.00","Group Assignment",95
68,2,1,"23","3","153.00","Group Assignment",60
68,3,1,"23","3","82.00","Group Assignment",54
68,4,1,"23","3","112.00","Group Assignment",53
68,5,1,"23","3","73.00","Group Assignment",97
69,1,0,"18","3","82.00","Group Assignment",64
69,2,0,"18","3","109.00","Group Assignment",80
69,3,0,"18","3","138.00","Group Assignment",89
69,4,0,"18","3","100.00","Group Assignment",99
69,5,0,"18","3","99.00","Group Assignment",59
70,1,1,"21","1","52.00","Group Assignment",64
70,3,1,"21","1","5.00","Group Assignment",62
70,5,1,"21","1","29.00","Group Assignment",54
71,1,0,"20","3","56.00","Group Assignment",63
71,2,0,"20","3","71.00","Group Assignment",91
71,3,0,"20","3","59.00","Group Assignment",82
71,4,0,"20","3","56.00","Group Assignment",54
71,5,0,"20","3","151.00","Group Assignment",95
72,1,1,"19","3","171.00","Individual Assignment",95
72,2,1,"19","3","133.00","Individual Assignment",84
72,3,1,"19","3","103.00","Individual Assignment",83
72,4,1,"19","3","160.00","Individual Assignment",57
72,5,1,"19","3","96.00","Individual Assignment",88
73,1,0,"22","3","126.00","Group Assignment",66
73,2,0,"22","3","106.00","Group Assignment",61
73,3,0,"22","3","60.00","Group Assignment",91
73,4,0,"22","3","132.00","Group Assignment",64
73,5,0,"22","3","95.00","Group Assignment",62
74,1,0,"19","3","102.00","Individual Assignment",65
74,2,0,"19","3","73.00","Individual Assignment",59
74,3,0,"19","3","57.00","Individual Assignment",80
74,4,0,"19","3","85.00","Individual Assignment",100
74,5,0,"19","3","85.00","Individual Assignment",83
75,1,1,"18","3","102.00","Individual Assignment",99
75,2,1,"18","3","89.00","Individual Assignment",54
75,3,1,"18","3","83.00","Individual Assignment",93
75,4,1,"18","3","70.00","Individual Assignment",93
75,5,1,"18","3","136.00","Individual Assignment",96
76,1,1,"24","3","74.00","Group Assignment",66
76,2,1,"24","3","117.00","Group Assignment",88
76,3,1,"24","3","90.00","Group Assignment",51
76,4,1,"24","3","76.00","Group Assignment",80
76,5,1,"24","3","129.00","Group Assignment",77
77,1,1,"23","3","84.00","Individual Assignment",53
77,2,1,"23","3","159.00","Individual Assignment",91
77,3,1,"23","3","118.00","Individual Assignment",60
77,4,1,"23","3","65.00","Individual Assignment",67
77,5,1,"23","3","85.00","Individual Assignment",52
78,1,1,"24","3","60.00","Group Assignment",91
78,2,1,"24","3","65.00","Group Assignment",63
78,3,1,"24","3","116.00","Group Assignment",66
78,4,1,"24","3","72.00","Group Assignment",53
78,5,1,"24","3","63.00","Group Assignment",74
79,1,0,"20","3","62.00","Group Assignment",97
79,2,0,"20","3","103.00","Group Assignment",62
79,3,0,"20","3","140.00","Group Assignment",59
79,4,0,"20","3","88.00","Group Assignment",52
79,5,0,"20","3","131.00","Group Assignment",62
80,2,0,"19","1","11.00","Forum",92
80,5,0,"19","1","24.00","Forum",82
81,1,0,"19","3","95.00","Individual Assignment",72
81,2,0,"19","3","72.00","Individual Assignment",100
81,3,0,"19","3","109.00","Individual Assignment",98
81,4,0,"19","3","99.00","Individual Assignment",69
81,5,0,"19","3","99.00","Individual Assignment",62
82,2,1,"24","2","53.00","Group Assignment",52
82,3,1,"24","2","41.00","Group Assignment",56
82,4,1,"24","1","34.00","Group Assignment",58
82,5,1,"24","1","37.00","Group Assignment",100
83,1,0,"24","1","29.00","Forum",88
83,2,0,"24","2","58.00","Forum",53
83,3,0,"24","3","97.00","Forum",91
83,4,0,"24","3","91.00","Forum",70
83,5,0,"24","1","22.00","Forum",84
84,1,1,"18","3","79.00","Group Assignment",72
84,2,1,"18","3","122.00","Group Assignment",74
84,3,1,"18","3","122.00","Group Assignment",53
84,4,1,"18","3","128.00","Group Assignment",66
84,5,1,"18","3","112.00","Group Assignment",62
85,1,0,"18","3","36.00","Group Assignment",81
85,2,0,"18","3","113.00","Group Assignment",96
85,3,0,"18","3","125.00","Group Assignment",85
85,4,0,"18","3","84.00","Group Assignment",80
85,5,0,"18","3","72.00","Group Assignment",69
86,1,1,"20","3","147.00","Group Assignment",57
86,2,1,"20","3","75.00","Group Assignment",92
86,3,1,"20","3","60.00","Group Assignment",88
86,4,1,"20","3","102.00","Group Assignment",50
86,5,1,"20","3","59.00","Group Assignment",62
87,1,1,"19","3","109.00","Individual Assignment",84
87,2,1,"19","3","84.00","Individual Assignment",74
87,3,1,"19","3","108.00","Individual Assignment",79
87,4,1,"19","3","128.00","Individual Assignment",50
87,5,1,"19","3","100.00","Individual Assignment",78
88,1,1,"19","3","69.00","Group Assignment",58
88,2,1,"19","3","126.00","Group Assignment",89
88,3,1,"19","3","105.00","Group Assignment",53
88,4,1,"19","3","62.00","Group Assignment",90
88,5,1,"19","3","108.00","Group Assignment",56
89,1,1,"22","3","127.00","Group Assignment",87
89,2,1,"22","3","129.00","Group Assignment",60
89,3,1,"22","3","99.00","Group Assignment",72
89,4,1,"22","3","65.00","Group Assignment",94
89,5,1,"22","3","132.00","Group Assignment",96
90,2,0,"18","1","29.00","Group Assignment",96
90,3,0,"18","2","45.00","Group Assignment",58
90,4,0,"18","2","49.00","Group Assignment",88
90,5,0,"18","2","75.00","Group Assignment",99
91,1,1,"22","1","28.00","Group Assignment",89
91,2,1,"22","2","26.00","Group Assignment",98
91,3,1,"22","2","34.00","Group Assignment",95
91,4,1,"22","1","22.00","Group Assignment",92
91,5,1,"22","2","57.00","Group Assignment",72
92,1,1,"25","1","29.00","Individual Assignment",84
92,2,1,"25","2","77.00","Individual Assignment",64
92,3,1,"25","2","53.00","Individual Assignment",58
92,5,1,"25","2","41.00","Individual Assignment",65
93,1,0,"21","3","128.00","Individual Assignment",80
93,2,0,"21","3","92.00","Individual Assignment",92
93,3,0,"21","3","72.00","Individual Assignment",74
93,4,0,"21","3","122.00","Individual Assignment",100
93,5,0,"21","3","51.00","Individual Assignment",77
94,1,0,"23","3","60.00","Group Assignment",89
94,2,0,"23","3","106.00","Group Assignment",77
94,3,0,"23","3","151.00","Group Assignment",61
94,4,0,"23","3","78.00","Group Assignment",77
94,5,0,"23","3","104.00","Group Assignment",98
95,1,0,"23","3","83.00","Group Assignment",92
95,2,0,"23","3","148.00","Group Assignment",65
95,3,0,"23","3","44.00","Group Assignment",82
95,4,0,"23","3","109.00","Group Assignment",91
95,5,0,"23","3","87.00","Group Assignment",58
96,1,0,"25","3","135.00","Group Assignment",82
96,2,0,"25","3","159.00","Group Assignment",94
96,3,0,"25","3","135.00","Group Assignment",99
96,4,0,"25","3","64.00","Group Assignment",64
96,5,0,"25","3","143.00","Group Assignment",93
97,1,0,"23","3","86.00","Group Assignment",99
97,2,0,"23","3","86.00","Group Assignment",99
97,3,0,"23","3","82.00","Group Assignment",60
97,4,0,"23","3","129.00","Group Assignment",51
97,5,0,"23","3","160.00","Group Assignment",69
98,1,0,"24","3","75.00","Group Assignment",57
98,2,0,"24","3","97.00","Group Assignment",68
98,3,0,"24","3","54.00","Group Assignment",73
98,4,0,"24","3","121.00","Group Assignment",54
98,5,0,"24","3","119.00","Group Assignment",94
99,1,0,"21","3","110.00","Individual Assignment",82
99,2,0,"21","3","118.00","Individual Assignment",67
99,3,0,"21","3","87.00","Individual Assignment",68
99,4,0,"21","3","82.00","Individual Assignment",50
99,5,0,"21","3","105.00","Individual Assignment",52
100,1,0,"21","3","172.00","Group Assignment",93
100,2,0,"21","3","97.00","Group Assignment",69
100,3,0,"21","3","86.00","Group Assignment",62
100,4,0,"21","3","91.00","Group Assignment",68
100,5,0,"21","3","123.00","Group Assignment",53
